Book	Chapter	Question Number	Question	Reference Verse	Correct Answer	Answer A	Answer B	Answer C	Answer D	
Jos	1	1	How is Moses described in the first chapter of Joshua?	1	C	Prophet	Priest	Servant of the Lord	Father of Many Nations	
Jos	1	2	Who was Joshua?	1	D	Son of Nun	Moses’ assistant	Brother of Caleb	A and B	
Jos	1	3	According to the Lord, what had happened to Moses?	2	A	He is dead	He went to heaven in a chariot	He was too weak to lead	He had been killed in battle	
Jos	1	4	What did the Lord want Joshua and the people to do?	2	D	Fast and pray for 30 days before going into the Promised Land	Return to Egypt, since Moses was no longer with them	Offer sacrifices and burnt offerings to cleanse the camp before crossing the Jordan River	Go over the Jordan into the land the Lord was giving to them	
Jos	1	5	What had the Lord promised Moses about the land they were to receive?	3	A	“Every place that the sole of your foot will tread upon I have given to you”	“I will give you more land than the Egyptians”	“I will give you the best regions”	“I will give you the land near the Jordan River.”	
Jos	1	6	How far would the territory of the Israelites extend?	4	D	From the wilderness and this Lebanon	As far as the great river, the Euphrates	All the land of the Hittites	All of the above	
Jos	1	7	What did the Lord promise Joshua?	5	C	“Even though I was with Moses, I won’t be with you”	“I will never leave you nor forsake you as long as you are obedient.”	“No man shall be able to stand before you all the days of your life.”	“You will inherit the best of the land for your own family.”	
Jos	1	8	What did the Lord tell Joshua that he (Joshua) would do?	6	B	Defeat mighty kings	Cause this people to inherit the land	Reign in Egypt	Be greater than Moses	
Jos	1	9	What did the Lord encourage Joshua to be?	7	D	Faithful and true	Honest and humble	Sly like a fox	Be strong and very courageous	
Jos	1	10	What was Joshua commanded to do with the Book of the Law?	8	B	Read it daily	It shall not depart from your mouth	Put it in the temple	Carry it with him	
Jos	1	11	Why was Joshua to do all that was written in the Book of the Law?	8	A	So that he would be prosperous and have good success	To make Moses proud	To increase their numbers	To beat the Canaanites	
Jos	1	12	The Book of the Law shall not depart from your _______.	8	C	Soul	Mind	Mouth	Spirit	
Jos	1	13	Why was Joshua to meditate on the Book of the Law day and night?	8	B	To become a better leader	So he may be careful to do what was written in it	To teach the priests	So that he would find peace	
Jos	1	14	Which of the following did God command?	9	D	Be strong and courageous	Do not be frightened	Do not be dismayed	All of the above	
Jos	1	15	Who would be with Joshua wherever they traveled?	9	A	The Lord	Moses	Pharaoh	Caleb	
Jos	1	16	To whom did Joshua give orders when it was time to get ready to go?	10	D	Officers	People	Soldiers	A and B	
Jos	1	17	How long were the Israelites to prepare their provisions for passing over the Jordan?	11	C	7 days	10 days	3 days	1 day	
Jos	1	18	What would Israel do once they passed over the Jordan?	11	A	Take possession of the land	Hold a celebration	Build houses	Build an altar	
Jos	1	19	To whom did Moses refer when he said, “The Lord your God is providing you a place of rest and will give you this land”?	12-13	D	Tribe of Judah and Levi	Tribe of Benjamin and Simeon	Tribe of Levi, Simeon, and Joseph	Tribes of Reuben, Gad, and half-tribe of Manasseh.	
Jos	1	20	When Israel crossed the Jordan River, who remained beyond the Jordan?	14	A	Wives, little ones, and livestock	Priests	Elderly parents	Shepherds	
Jos	1	21	Who was to cross over the Jordan before their brothers?	14	B	The High Priest	Men of valor	Joshua and Caleb	All of the above	
Jos	1	22	What were those who crossed the Jordan River ahead of their brothers to do?	14-15	A	Help their brothers until the Lord gives them rest and they take possession of the land	Set up an altar to worship	Build houses	The text doesn’t say	
Jos	1	23	After fulfilling their obligations to their brothers, where could the men of valor go?	15	A	Return to their land beyond the Jordan	Back to Egypt	To any land they desired	To Joshua for more instructions
Jos	1	24	How did the men from the tribes of Reuben, Gad, and half-tribe of Manasseh answer Joshua?	16-17	D	All that you have commanded us, we will do.	Wherever you send us we will go.	Just as we obeyed Moses, we will obey you.	All of the above	
Jos	1	25	What did the men of Reuben, Gad, and half-tribe of Manasseh desire for Joshua?	17	C	A cloak of invisibility	Great success in battle	May the Lord be with Joshua, as He was with Moses	Wisdom and discernment	
Jos	1	26	What would be the punishment for anyone who rebelled against Joshua?	18	B	Exiled back to Egypt	Death	Leprosy	Blindness	
Jos	1	27	What did the men of Reuben, Gad, and half-tribe of Manasseh encourage Joshua to be?	18	A	Strong and courageous	Wise and discerning	Kind and meek	Brutal and mean	
Jos	2	1	Who was Joshua’s father?	1	C	Moses	Caleb	Nun	Rahab	
Jos	2	2	How many spies did Joshua send?	1	A	2	3	7	12	
Jos	2	3	Why did Joshua send out spies?	1	B	To find the source of sin in the Israelite camp	To view the land, especially Jericho	To look for water	To find food	
Jos	2	4	From where were the spies secretly sent out?	1	D	Mount Sinai	Egypt	Jordan	Shittim	
Jos	2	5	Where did the spies lodge?	1	C	Near the city gate	The king’s palace	In the house of Rahab	The text doesn’t say	
Jos	2	6	Who was told about the Israelite spies?	2	A	King of Jericho	King of Sihon	King of Og	All of the above	
Jos	2	7	What message did the King of Jericho send to Rahab?	3	B	Why have you given refuge to the Israelites?	Bring out the men who have come to search out all the land	Do not allow these men to escape	Send these men out of our land immediately	
Jos	2	8	What had Rahab done with the spies?	6	C	Denied she knew them	Killed them with a tent peg	Hid them on the roof with stalks of flax	Bound them with new ropes	
Jos	2	9	How did Rahab respond to the King’s message?	4-5	D	True, the men came to me, but I did not know where they were from.	When the gate was about to be closed at dark, the men went out.	I do not know where the men went.	All of the above	
Jos	2	10	Where did the men of Jericho go to pursue the spies?	7	A	On the way to the Jordan as far as the fords	To the land of Sidon	To the land of Og	To the hills in the south	
Jos	2	11	What happened after the pursuers left?	7	D	The king prepared his troops	The people stoned Rahab	All was silent for three days	The gate was shut	
Jos	2	12	What did Rahab tell the spies?	9	D	The fear of you has fallen upon us	I know that the Lord has given you the land	All inhabitants of the land melt away before you	All of the above	
Jos	2	13	What had the people of Jericho heard about the Israelites?	10	D	The Lord dried up the water of the Red Sea	They had destruction of the two kings of the Amorites	The Lord fed them manna and quail for 40 years	A and B	
Jos	2	14	What did Rahab say about the God of Israel?	11	B	The Lord your God is more powerful than Egyptian gods	The Lord your God, He is God in the heavens above and on the earth beneath	The Lord your God is not as powerful as the Amorite gods	I want to hear more about your God	
Jos	2	15	What did Rahab request from the spies?	12-13	C	That her parent’s home be spared from destruction	That she be could leave Jericho with them	That she and her family would be saved from death	That she would be saved from death	
Jos	2	16	Why did Rahab ask that the spies deal kindly with her family?	12	B	Because she was worthy	Because she had dealt kindly to them	Because they were frightened	Because she had lied to the soldiers	
Jos	2	17	How did the spies respond to Rahab’s request?	14	C	We will ask Joshua	We will ask the Lord	Our life for yours even to death	A and B	
Jos	2	18	How did the spies leave the city?	15	B	Through the city gate	Out the window of Rahab’s house on a rope	Lowered from the roof in a basket	They hid in a cart covered with straw	
Jos	2	19	Why was this method of escape possible?	15	A	Rahab’s house was built into the city wall	The city gate was reopened when the men of Jericho returned	God confused the people of Jericho	God was faithful to deliver the men	
Jos	2	20	Where did Rahab recommend that the spies go?	16	D	Across the Jordan River	Into the forests south of the city	Back to Egypt	To the hills	
Jos	2	21	What conditions needed to be met for the spies’ oath to be binding?	17-20	D	Rahab needed to tie the scarlet cord in the window	Rahab’s father, mother, brothers, and all her father’s household needed to be in her house	Rahab could not tell what the spies were doing	All of the above.	
Jos	2	22	How did Rahab respond to the conditions stated by the spies for their agreement to be binding?	21	C	I cannot agree to these terms	First, I must check with my parents	According to your words, so be it	What if we need to go out for provisions?	
Jos	2	23	How long did the spies hide in the hills?	22	A	Three days	Five days	Seven days	Twelve days	
Jos	2	24	What report did the spies give to Joshua after returning safely from Jericho?	24	C	They are good people; we should not attack them.	The King of sent us gifts as a sign of his favor.	The Lord has given all the land into our hands.	We don’t think Israel can conquer Jericho.	
Jos	3	1	At what time of day did Joshua and all the Israelites set out for the Jordan?	1	A	Early in the morning	At the noon time	As the sun was setting	Text doesn’t say	
Jos	3	2	From what location did Joshua and the Israelites set out to go to the Jordan?	1	C	Egypt	Sidon	Shittim	Og	
Jos	3	3	What did the Israelites do when they arrived at the Jordan, before passing over?	1	C	Prayed and fasted	Sharpened their swords	Lodged	All of the above	
Jos	3	4	How many days did Israel camp at the Jordan before passing over?	2	C	1 day	2 days	3 days	4 days	
Jos	3	5	What happened after the Israelites camped by the Jordan River?	2-3	B	The priests offered sacrifices	The officers went through the camp giving commands to the people	The officers collected everyone’s gold and jewelry	The Israelites built an altar	
Jos	3	6	What was the signal for the Israelites to move?	3	C	Two long trumpet blasts	Joshua raising the staff of Moses	The ark of the covenant, being carried by the Levitical priests	All of the above	
