Book	Chapter	Question Number	Question	Reference Verse	Correct Answer	Answer A	Answer B	Answer C	Answer D
Luk	1	1	How were the events in Luke compiled?	2	D	Through eyewitnesses	Through ministers of the word	Through ancient writings	A & B
Luk	1	2	To whom was the book of Luke written?	3	C	Zechariah	Herod, king of Judea	Theophilus	daughters of Aaron
Luk	1	3	In the days of which king did Zechariah live?	5	B	King Agrippa of Judea	King Herod of Judea	King Antipas of Galilee	King Festus of Syria
Luk	1	4	What was Zechariah?	5	A	a priest	a physician	a tax collector	a carpenter
Luk	1	5	What was the name of Zechariah’s wife?	5	B	Suzana	Elizabeth	Naomi	Mary
Luk	1	6	Zechariah belonged to which priestly division?	5	D	Melchisedec	Zadok	Anas	Abijah
Luk	1	7	Zechariah and his wife were described as what?	6	C	kind	Zealots	righteous	generous
Luk	1	8	Why were Zechariah and Elizabeth childless?	7	B	Their children were dead	Elizabeth was barren	Priest weren’t allowed to have children	Text doesn’t say
Luk	1	9	How was Zechariah chosen to go into the temple to burn incense?	9	A	By lot	By rock/paper/scissors	By Aaron	By the High Priest
Luk	1	10	Where was the angel of the Lord standing when he appeared to Zechariah?	11	B	Behind the veil	On the right side of the altar of incense	In front of the veil	On the mercy seat
Luk	1	11	How did Zechariah react to seeing the angel of the Lord?	12	D	Filled with joy	Fear fell upon him	He was troubled	B & C
Luk	1	12	What did the angel tell Zechariah to name the child?	13	C	Zechariah, Jr.	John the Baptist	John	Elijah
Luk	1	13	Who would be great and filled with the Holy Spirit from his mother’s womb?	15	C	Joseph	Elijah	Zechariah & Elizabeth’s son	Text doesn’t say
Luk	1	14	What did the angel say Zechariah’s son should never drink?	15	B	Milk	Wine or strong drink	Honey	Water
Luk	1	15	John, the son of Zechariah, would operate in the spirit of which prophet?	17	A	Elijah	Elisha	Isaiah	Jeremiah
Luk	1	16	What is the name of the angel who spoke to Zechariah?	19	A	Gabriel	Michael	Lucifer	Legion
Luk	1	17	What was Zechariah unable to do until the day his son was born?	20	C	See	Small	Speak	Hear
Luk	1	18	Why did the angel make Zechariah silent?	20	C	So he would not tell anyone about the angel’s message	The angel did not think Zechariah was listening	Because Zechariah did not believe the angel’s message	As a sign to prove that his word would come to pass
Luk	1	19	When did God send an angel to Mary?	26	D	A year after the angel appeared to Zechariah	In the fourth month of Elizabeth's pregnancy	On the day Elizabeth delivered her baby	In the sixth month of Elizabeth's pregnancy
Luk	1	20	What is the name of the angel who appeared to Mary?	26	B	Michael	Gabriel	Wormwood	Lucifer
Luk	1	21	According to the angel, what was Mary to name her son?	31	D	Abenezer	Joseph	Emmanuel	Jesus
Luk	1	22	How did Mary become pregnant with her first child?	35	B	She became pregnant by an angel	She became pregnant when the Holy Spirit came upon her	She became pregnant by Joseph	Text doesn’t say
Luk	1	23	Who did Mary hurry to visit in the hill country?	39-40	A	Zechariah and Elizabeth	Her parents	Joseph	Joseph’s parents
Luk	1	24	How did the baby in Elizabeth’s womb react to Mary’s greeting?	41	A	He leaped	He became still	He kicked	Text doesn’t say
Luk	1	25	Whose song is recorded in chapter 1?	46	C	Elizabeth’s	Zechariah’s	Mary’s	Joseph’s
Luk	1	26	About how long did Mary stay with Elizabeth?	56	B	One month	Three months	Six months	Nine months
Luk	1	27	On which day after birth was Elizabeth's son circumcised?	59	D	Fourteenth day	Seventh day	Sixth day	Eighth day
Luk	1	28	Who is a male child traditionally named after?	59	A	His father	His mother’s father	His father’s father	S.S. Top 10 Baby Names
Luk	1	29	Who said, or wrote, the child’s name would be John?	60-63	D	Elizabeth	Mary	Zechariah	A & C
Luk	1	30	What happened immediately after Zechariah wrote the child’s name?	64	C	Elizabeth became mute	The child giggled	He was able to speak	All of the above
Luk	1	31	What was the response of the neighbors who witnessed these things?	63-65	D	They wondered	Fear came upon them	They rejoiced	A & B
Luk	1	32	Whose prophecy is included in chapter 1?	67	B	Elizabeth’s	Zechariah’s	Mary’s	Joseph’s
Luk	1	33	Who was filled with the Holy Spirit in chapter 1?	35,41,67	D	Elizabeth	Zechariah	Mary	All of the above
Luk	1	34	Where did John live until he appeared publicly to Israel?	80	A	The wilderness	Nazareth	By the Sea of Gallilee	Jerusalem
Luk	2	1	Which ruler passed a decree on the whole Roman Empire around the time Mary conceived Jesus?	1	A	Caesar Augustus	Nero Caesar	Tiberius Caesar	Claudius Caesar
Luk	2	2	Where did everyone have to go to register for the census?	3	C	Bethlehem	Jerusalem	In his own town	Bethel
Luk	2	3	In what region of Israel is Bethlehem located?	4	B	Samaria	Judea	Decapolis	Babylon
Luk	2	4	Why did Joseph go to Bethlehem to register for the census?	4	B	It was near Galilee	Because he was of the house of the line of David	That is where Mary lived	It was his father’s hometown
Luk	2	5	According to Luke 2, which place is the city of David?	4	D	Nazareth	Bethphage	Samaria	Bethlehem
Luk	2	6	Why was Jesus born in a stable and laid in a manger?	7	B	It happened to fulfill the prophecy about the Messiah.	It was because there was no room for them in the inn.	It was because Joseph had no money to rent a room for the family.	It was because they did not want to draw much attention to themselves.
Luk	2	7	To whom did the angel say, “Fear not, . . .I bring you good news…”?	8-10	A	Shepherds	Wisemen	King Herod	Simeon & Anna
Luk	2	8	At what time were the shepherds in the field when the angel appeared to them?	8	A	Night	Midday	Dawn	Evening
Luk	2	9	What did the angel say had been born in the town of David?	11	D	A child of the people	A servant	A fawn	A Savior
Luk	2	10	By what sign would the shepherds recognize baby Jesus?	12	C	Wise men would be at the place where he was born.	A star would be right above the place where he was born.	The baby is wrapped in swaddling cloths and lying in a manger.	The light of a star would beam upon the place where he was born.
Luk	2	11	After the multitude of angels praised God and then went into heaven, where did the shepherds go?	15	A	To Bethlehem to see what they had heard	To their homes	To Jerusalem to report for the census	To the mountains
Luk	2	12	On what day was the baby given the name Jesus?	21	D	The first day	The third day	The seventh day	The eighth day
Luk	2	13	Where did Joseph and Mary take their son for purification rights?	22	B	To Bethlehem	To Jerusalem	To the Temple	To Samaria
Luk	2	14	What sacrifice was required for male firstborns according to the law of Moses?	24	D	A kid or a lamb of three years	A young goat	Three young pigeons or two geese	A pair of turtledoves or two young pigeons
Luk	2	15	According to Luke 2, what description was given to the old man Simeon?	25	B	Kind and just	Righteous and devout	Wise and faithful.	Innocent
Luk	2	16	What had the Holy Spirit told Simeon he would see before he died?	26	A	Lord’s Christ	The new High Priest	King Herod	David’s temple
Luk	2	17	What was the name of the 84-year old female prophet who lived in the temple?	36	A	Anna	Miriam	Huldah	Deborah
Luk	2	18	How many years after marriage did Anna become a widow?	36	D	21 years	14 years	10 years	7 years
Luk	2	19	How old was Anna at the time Mary and Joseph came into the temple to perform the custom for their firstborn?	37	C	70 years	91 years	84 years	67 years
Luk	2	20	What brought Joseph and Mary to Jerusalem every year?	41	A	The feast of the Passover	The custom of the firstborn	The feast of the tabernacle.	The feast of harvest
Luk	2	21	How old was Jesus the year He stayed behind in Jerusalem?	42	D	Fifteen	Eight	Ten	Twelve
Luk	2	22	How many days did Jesus’ parents search for Him?	46	C	One	Ten	Three	Twelve
Luk	2	23	What was Jesus doing when His parents found Him in the temple courts?	46	B	Preaching to scribes	Speaking with the teachers?	Healing the lame	Reading the scrolls
Luk	2	24	How did Jesus respond when His mother said she had been searching for Him?	49	B	Please forgive Me	Didn’t you know I must be in My Father’s house	You shouldn’t have left Me	I won’t do it again
Luk	2	25	Who treasured in their heart all the things that happened?	51	C	Anna	Simeon	Mary	Joseph
Luk	3	1	Who was ruling over Galilee when John the Baptist started his ministry?	1	A	Herod	Alexander the Great	Agrippa	Pontius Pilate
Luk	3	2	Who was ruling over Ituraea and Trachonitis, and Lysanias, tetrarch of Abilene when John the Baptist started his ministry?	1	C	Herod	Agrippa	Philip	Aristobulus
Luk	3	3	Who were the high priests when John the Baptist started his ministry?	2	B	Gamaliel and Zacharias	Annas and Caiaphas	Agrippa and Annas	Simeon and Zacharias
Luk	3	4	Who was the emperor of Roman when John the Baptist started his ministry?	1	A	Tiberius	Julius Gius	Augustus	Julian
Luk	3	5	Who was the governor of Judea when John the Baptist started his ministry?	1	D	Agrippa	Philip	Aristobulus	Pontius Pilate
Luk	3	6	Where in the wilderness did the Word of God came to John the Baptist?	2-3	B	The wilderness of Judea	The region around the Jordan	The city of Jerusalem	The region around the Sea of Galilee
Luk	3	7	What was the purpose of the baptism that John preached?	3	C	Salvation	Church leadership	Repentance for the forgiveness of sins	Washing the body
Luk	3	8	Which prophet said, “The voice of one crying in the wilderness; ‘Prepare the way of the Lord’?”	4	A	Isaiah	Elisha	Elijah	Samuel
Luk	3	9	Where in the scriptures of Isaiah is the above quote written?	4-5	B	Isaiah 31:1-5	Isaiah 40:3-5	Isaiah 10:3-5	Isaiah 8:7-10
Luk	3	10	How did John refer to the crowds coming out to be baptized by him?	7	B	Angry heathens	Brood of vipers	Unsaved souls	Den of thieves
Luk	3	11	According to John, what was the fruit the people produced to be in keeping with?	8	C	Love	Gentleness	Repentance	Peace
Luk	3	12	What did John warn the people not to boast about themselves?	8	A	That Abraham was their father	That they descended from Noah	That Moses was their father	That they were God’s chosen ones
Luk	3	13	What did John say would happen to trees that did not produce good fruit?	9	D	They would be cut down	They would be pruned	They would be thrown into the fire	A & C
Luk	3	14	What did John say those who had two tunics should do?	11	A	Share with the person who has none	Wear them both at the same time	Sell one and give the money to the poor	Wash them both
Luk	3	15	What teachings did John the Baptist give tax collectors?	12-13	C	He told them not to collect taxes anymore for a pagan government.	He told them to give alms to the poor from the riches they had amassed.	He told them to collect no more than they were authorized to do.	He told them to abstain from Roman rituals.
Luk	3	16	Apart from extorting money, what else did John the Baptist teach soldiers to do?	14	C	They should not serve the pagan Roman government.	They should not jail the innocent.	They should be content with their wages.	They should not crucify the anointed one.
Luk	3	17	Who did some think John might possibly be?	15	D	Elijah	Elisha	A prophet	The Christ
Luk	3	18	John baptized with water and said the more powerful one who was coming would baptize with what?	16	B	The Holy Spirit and water	The Holy Spirit and fire	Water and fire	Fire and brimstone
Luk	3	19	Who did John rebuke because of his marriage to Herodias?	19	C	Pontius Pilate	Tiberius Caesar	Herod the tetrarch	Text doesn’t say
Luk	3	20	How was Herod related to Herodias?	19	A	She was his brother's wife.	She was his sister.	She was his daughter.	She was his mother.
Luk	3	21	When was Jesus baptized?	21	B	At the temple	When all the people were baptized	When the crowds left	Text doesn’t say
Luk	3	22	What was Jesus doing when the heavens opened, and the Spirit descended on Him?	21	D	He was lifting his hands.	He was looking up at the sky.	He was talking to John the Baptist.	He was praying.
Luk	3	23	What happened as Jesus was praying after His baptism?	21	B	The people grew silent	Heaven was opened	The earth shook	The sun grew dark for three hours
Luk	3	24	In whom is God well pleased?	22	C	John the Baptist	The high priest	Jesus Christ	The archangels
Luk	3	25	What descended on Jesus in bodily form, like a dove, when He was baptized?	22	B	God the Father	The Holy Spirit	Gabriel, the angel	Michael, the archangel
Luk	3	26	At what age was Jesus baptized?	23	C	About 18 years old	About 33 years old	About 30 years old	Text doesn’t say
Luk	3	27	What was the name of David’s father?	32	D	Salmon	Obed	Booz	Jesse
