"Verse","Question","Correct Answer","Incorrect Answer 1","Incorrect Answer 2","Incorrect Answer 3","Incorrect Answer 4"
"Exodus 1:8","Who reigned over Egypt?","A new king","Joseph","Moses","Aaron","Joshua"
"Exodus 1:7","Who were fruitful and multiplied?","People of Israel","Egyptians","Philistines","Canaanites","Midianites"
"Exodus 1:9","Who did the new king say was more numerous and stronger than they?","People of Israel","Philistines","Canaanites","Midianites","Babylonians"
"Exodus 1:11","What did the Egyptians set over Israel to afflict them with?","Taskmasters","Kings","Armies","Laws","Curses"
"Exodus 1:11","Where did they build store cities?","Pithom and Raamses","Goshen","Canaan","Jerusalem","Bethel"
"Exodus 1:13","How did the Egyptians deal shrewdly with the Israelites?","By increasing their workload","By making allies","By taking their land","By taking their wealth","By making them soldiers"
"Exodus 1:15","Who were the two midwives?","Shiphrah and Puah","Mary and Martha","Sarah and Hagar","Rachel and Leah","Miriam and Zipporah"
"Exodus 1:16","What did the king of Egypt command the midwives to do?","Kill the male children","Leave the city","Stop delivering babies","Increase the workload","Take a census"
"Exodus 1:17","Why did the midwives fear God?","Because of their faith","They saw a sign","They heard a voice","They were threatened","They were commanded"
"Exodus 1:20","Who dealt well with the midwives?","God","The king of Egypt","The Israelites","The priests","The elders"
"Exodus 1:12","What happened to the people of Israel as they were oppressed?","They multiplied","They weakened","They fled","They rebelled","They became poor"
"Exodus 1:15","To whom did the king of Egypt speak?","The Hebrew midwives","The Israelite leaders","The Egyptian priests","The people of Israel","The foreign visitors"
"Exodus 1:18","Who called the midwives and asked why they let the baby boys live?","The king of Egypt","The head priest","The taskmaster","The Israelite leader","The commander of the army"
"Exodus 1:21","Because the midwives feared God, what did He give them?","Families","Wealth","Honor","A new homeland","Prominence in Egypt"
"Exodus 1:22","Who commanded every son born to the Hebrews to be cast into the Nile?","Pharaoh","The midwives","The Egyptian people","The Israelite leaders","The priests"
"Exodus 1:14","What made the lives of the people of Israel bitter?","Their slavery","Their kings","Their gods","Their lands","Their families"
"Exodus 1:10","What did the king of Egypt want to prevent the Israelites from doing?","Increase","Leaving Egypt","Building cities","Becoming wealthy","Worshiping their God"
"Exodus 1:19","What did the midwives say about the Hebrew women?","They are vigorous and give birth before the midwife comes","They are weak","They are cursed","They are favored by gods","They are lazy"
"Exodus 1:7","Who became exceedingly strong so that the land was filled with them?","The children of Israel","The Egyptians","The Canaanites","The Philistines","The Midianites"
"Exodus 1:1","Who came to Egypt with Jacob?","His sons","His servants","His neighbors","His soldiers","His allies"
"Verse","Question","Correct Answer","Incorrect Answer 1","Incorrect Answer 2","Incorrect Answer 3","Incorrect Answer 4"
"Exodus 2:1","Who married a Levite woman?","A man of the house of Levi","A man of the house of Judah","A Pharaoh","A man of the house of Benjamin","A man of the house of Dan"
"Exodus 2:2","What did the woman do when she saw that he was a fine child?","She hid him three months","She showed him to the Pharaoh","She left him in a field","She abandoned him","She proclaimed him as a prophet"
"Exodus 2:3","Where did the baby’s mother put him when she could hide him no longer?","Among the reeds by the river bank","In the field","In the desert","In the Pharaoh’s palace","In a village"
"Exodus 2:5","Who came down to the river to bathe?","The daughter of Pharaoh","The wife of Pharaoh","The mother of Moses","The sister of Pharaoh","The daughter of a priest"
"Exodus 2:6","What did she see when she opened it?","He was crying","He was laughing","He was sleeping","He was playing","He was silent"
"Exodus 2:7","Who said, 'Shall I go and call you a nurse from the Hebrew women to nurse the child for you?'","The baby's sister","The baby’s mother","The Pharaoh’s daughter","The Pharaoh’s wife","A servant"
"Exodus 2:10","Who named him Moses?","The daughter of Pharaoh","His biological mother","His sister","The Pharaoh","A nurse"
"Exodus 2:11","Who looked this way and that, and seeing no one, struck down an Egyptian?","Moses","Aaron","Pharaoh","Joshua","Caleb"
"Exodus 2:12","Who was buried in the sand?","The Egyptian","The Hebrew","Moses","Pharaoh","A priest"
"Exodus 2:14","Who said, 'Who made you a prince and a judge over us?'","An Israelite","An Egyptian","Pharaoh","Aaron","A priest"
"Exodus 2:15","Who sought to kill Moses?","Pharaoh","Aaron","The Israelites","The Egyptian priests","A Canaanite king"
"Exodus 2:16","Who had seven daughters?","The priest of Midian","Pharaoh","The Levite man","Moses","Aaron"
"Exodus 2:17","Who drove them away?","The shepherds","Moses","The priest of Midian","The daughters","Pharaoh’s soldiers"
"Exodus 2:18","Who asked his daughters, 'Why have you come so soon today?'","Their father","Moses","Pharaoh","The shepherds","Aaron"
"Exodus 2:19","Who saved them out of the hand of the shepherds?","An Egyptian","A Hebrew","A Midianite","A Canaanite","A priest"
"Exodus 2:21","Who gave Moses his daughter Zipporah?","The priest of Midian","Pharaoh","Aaron","Joshua","An Israelite"
"Exodus 2:22","What did Moses name his son?","Gershom","Aaron","Eli","Phinehas","Reuel"
"Exodus 2:23","Who heard their groaning?","God","Pharaoh","The Egyptians","The Midianites","The priests"
"Exodus 2:24","What did God remember?","His covenant with Abraham, Isaac, and Jacob","The sins of the Israelites","The Pharaoh’s decree","The Midianites","The offerings of the Israelites"
"Exodus 2:25","Who saw the people of Israel and knew?","God","Moses","Pharaoh","The priest of Midian","The Egyptians"
"Verse","Question","Correct Answer","Incorrect Answer 1","Incorrect Answer 2","Incorrect Answer 3","Incorrect Answer 4"
"Exodus 3:1","Who was keeping the flock of his father-in-law, Jethro?","Moses","Aaron","Joshua","Caleb","Samuel"
"Exodus 3:2","What appeared to him in a flame of fire out of the midst of a bush?","The angel of the Lord","God","Aaron","A spirit","A prophet"
"Exodus 3:3","Why did Moses turn aside?","To see this great sight, why the bush is not burned","To pray","To pick a fruit","To rest","To meet someone"
"Exodus 3:4","Who called to him out of the bush?","God","An angel","Jethro","Aaron","A prophet"
"Exodus 3:5","What did God ask Moses to take off?","His sandals","His robe","His ring","His turban","His belt"
"Exodus 3:6","Who is the God of Abraham, the God of Isaac, and the God of Jacob?","I am","The angel of the Lord","Moses","Aaron","Jethro"
"Exodus 3:7","Who has seen the affliction of his people who are in Egypt?","The Lord","Moses","Pharaoh","Aaron","The elders"
"Exodus 3:8","To what land did God say he would bring the Israelites up out of Egypt?","A land flowing with milk and honey","The desert","The wilderness","Mount Sinai","Egypt"
"Exodus 3:9","What has come to God?","The cry of the people of Israel","The wrath of Pharaoh","The message of Moses","The angel of the Lord","The commandments"
"Exodus 3:10","Who did God send to bring the Israelites out of Egypt?","Moses","Aaron","Joshua","Jethro","Pharaoh"
"Exodus 3:11","What was Moses’ question to God?","Who am I that I should go to Pharaoh and bring the children of Israel out of Egypt?","Why me?","What should I tell them?","How will I do this?","Are you sure?"
"Exodus 3:12","What is God’s assurance to Moses for bringing the people out of Egypt?","I will be with you","You will be powerful","You will be a king","Pharaoh will fear you","The people will listen to you"
"Exodus 3:13","What does Moses ask God when the Israelites ask for his name?","What shall I say to them?","Why me?","How can I convince them?","Is there a sign?","Who are you?"
"Exodus 3:14","What did God say to Moses when asked for His name?","I AM WHO I AM","The Lord God of Israel","The Almighty","The Creator","The King of Kings"
"Exodus 3:15","Whose God is the Lord?","The God of Abraham, the God of Isaac, and the God of Jacob","The God of Moses","The God of the Israelites","The God of Pharaoh","The God of the Midianites"
"Exodus 3:16","Who did God instruct Moses to gather together?","The elders of Israel","The Egyptian rulers","The women of Israel","The children of Israel","The army of Israel"
"Exodus 3:17","Who did God promise to deliver from the Egyptians?","The Israelites","The Midianites","The Canaanites","The Philistines","The Edomites"
"Exodus 3:18","Whose voice will Pharaoh listen to?","The Lord, the God of the Hebrews","Moses","Aaron","The elders of Israel","The people of Israel"
